timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2020-12-30T00:00:00.000Z";"2020-12-30T23:59:59.999Z";"2020-12-30T22:05:15.000Z";"2020-12-30T00:01:09.000Z";0.99863498;1.00039994;0.99858627;1.00027547;72666964920.79;20893813528.22975;"2020-12-30T23:59:59.999Z"
"2020-12-29T00:00:00.000Z";"2020-12-29T23:59:59.999Z";"2020-12-29T17:55:14.000Z";"2020-12-29T16:31:09.000Z";0.9986136;0.99905372;0.9983714;0.99858998;76792619209.29;20812479542.827553;"2020-12-29T23:59:59.999Z"
"2020-12-28T00:00:00.000Z";"2020-12-28T23:59:59.999Z";"2020-12-28T16:08:08.000Z";"2020-12-28T11:01:08.000Z";0.99883298;0.99923925;0.99732428;0.99860308;76757036204.6;20791781912.599396;"2020-12-28T23:59:59.999Z"
"2020-12-27T00:00:00.000Z";"2020-12-27T23:59:59.999Z";"2020-12-27T22:13:09.000Z";"2020-12-27T08:14:08.000Z";0.99846271;0.99914531;0.99648893;0.99885416;95264858228.06;20729387121.485394;"2020-12-27T23:59:59.999Z"
"2020-12-26T00:00:00.000Z";"2020-12-26T23:59:59.999Z";"2020-12-26T00:00:10.000Z";"2020-12-26T23:13:09.000Z";1.00021126;1.00021126;0.99831829;0.99848059;70249332947.71;20682693558.19173;"2020-12-26T23:59:59.999Z"
"2020-12-25T00:00:00.000Z";"2020-12-25T23:59:59.999Z";"2020-12-25T11:59:08.000Z";"2020-12-25T23:04:09.000Z";0.99990881;1.00027744;0.99919961;1.00016775;69379207763.89;20687636701.03487;"2020-12-25T23:59:59.999Z"
"2020-12-24T00:00:00.000Z";"2020-12-24T23:59:59.999Z";"2020-12-24T18:29:09.000Z";"2020-12-24T11:49:09.000Z";0.99939853;1.00001045;0.99789336;0.99993145;70696999693.72;20531759415.571117;"2020-12-24T23:59:59.999Z"
"2020-12-23T00:00:00.000Z";"2020-12-23T23:59:59.999Z";"2020-12-23T12:11:09.000Z";"2020-12-23T21:33:09.000Z";0.99968709;1.00022556;0.99907356;0.99942591;85019037324.88;20459114819.801933;"2020-12-23T23:59:59.999Z"
"2020-12-22T00:00:00.000Z";"2020-12-22T23:59:59.999Z";"2020-12-22T21:10:14.000Z";"2020-12-22T08:28:08.000Z";0.9999281;1.00033905;0.99885657;0.99964118;72277839948.24;20387249195.305115;"2020-12-22T23:59:59.999Z"
"2020-12-21T00:00:00.000Z";"2020-12-21T23:59:59.999Z";"2020-12-21T20:20:14.000Z";"2020-12-21T11:14:08.000Z";0.99966784;1.00019809;0.99828801;0.99982731;70204823308.56;20301832633.72001;"2020-12-21T23:59:59.999Z"
"2020-12-20T00:00:00.000Z";"2020-12-20T23:59:59.999Z";"2020-12-20T00:22:09.000Z";"2020-12-20T21:47:08.000Z";1.00045975;1.00051147;0.99951357;0.99964298;62633975827.95;20293091729.712658;"2020-12-20T23:59:59.999Z"
"2020-12-19T00:00:00.000Z";"2020-12-19T23:59:59.999Z";"2020-12-19T15:48:08.000Z";"2020-12-19T22:07:08.000Z";1.00087328;1.0012305;1.00044034;1.00049866;59773866552.69;20120367513.610516;"2020-12-19T23:59:59.999Z"
"2020-12-18T00:00:00.000Z";"2020-12-18T23:59:59.999Z";"2020-12-18T23:52:08.000Z";"2020-12-18T14:45:13.000Z";0.99984401;1.0009375;0.99955938;1.00086776;68567341447.06;20056228135.277733;"2020-12-18T23:59:59.999Z"
"2020-12-17T00:00:00.000Z";"2020-12-17T23:59:59.999Z";"2020-12-17T15:49:08.000Z";"2020-12-17T09:19:08.000Z";1.0000008;1.00050858;0.99771809;0.99983786;107057692973.56;19994596726.948833;"2020-12-17T23:59:59.999Z"
"2020-12-16T00:00:00.000Z";"2020-12-16T23:59:59.999Z";"2020-12-16T14:28:08.000Z";"2020-12-16T02:22:09.000Z";1.00091753;1.00217786;0.99768501;0.99997851;65892006749.28;19779356100.6738;"2020-12-16T23:59:59.999Z"
"2020-12-15T00:00:00.000Z";"2020-12-15T23:59:59.999Z";"2020-12-15T20:39:09.000Z";"2020-12-15T00:08:09.000Z";0.99993176;1.00113238;0.99987555;1.00091748;41060539775.42;19782914876.739697;"2020-12-15T23:59:59.999Z"
"2020-12-14T00:00:00.000Z";"2020-12-14T23:59:59.999Z";"2020-12-14T04:02:08.000Z";"2020-12-14T15:03:09.000Z";0.99994216;1.00041419;0.99964888;0.99993174;34855969066.81;19833641700.047424;"2020-12-14T23:59:59.999Z"
"2020-12-13T00:00:00.000Z";"2020-12-13T23:59:59.999Z";"2020-12-13T05:05:11.000Z";"2020-12-13T10:25:11.000Z";1.00045019;1.00065114;0.99983935;0.99995156;39919658599.46;19834034804.90631;"2020-12-13T23:59:59.999Z"
"2020-12-12T00:00:00.000Z";"2020-12-12T23:59:59.999Z";"2020-12-12T07:43:08.000Z";"2020-12-12T00:05:09.000Z";1.00046067;1.00093341;1.00035082;1.00046356;37175152958.43;19826181940.14135;"2020-12-12T23:59:59.999Z"
"2020-12-11T00:00:00.000Z";"2020-12-11T23:59:59.999Z";"2020-12-11T23:30:20.000Z";"2020-12-11T07:55:10.000Z";1.00024688;1.0005187;0.99968504;1.00045818;46855379778.39;19778053308.171417;"2020-12-11T23:59:59.999Z"
"2020-12-10T00:00:00.000Z";"2020-12-10T23:59:59.999Z";"2020-12-10T08:45:15.000Z";"2020-12-10T14:33:09.000Z";1.00037477;1.00071714;0.99971715;1.0002533;42906892985.83;19758499141.0634;"2020-12-10T23:59:59.999Z"
"2020-12-09T00:00:00.000Z";"2020-12-09T23:59:59.999Z";"2020-12-09T17:37:08.000Z";"2020-12-09T00:12:08.000Z";0.99974064;1.00128072;0.99957945;1.00038358;58645762362.08;19721357389.967926;"2020-12-09T23:59:59.999Z"
"2020-12-08T00:00:00.000Z";"2020-12-08T23:59:59.999Z";"2020-12-08T00:35:09.000Z";"2020-12-08T19:55:11.000Z";1.00051824;1.00063852;0.99950422;0.99970572;51018510966.3;19707994301.636223;"2020-12-08T23:59:59.999Z"
"2020-12-07T00:00:00.000Z";"2020-12-07T23:59:59.999Z";"2020-12-07T00:20:09.000Z";"2020-12-07T17:54:08.000Z";1.0011909;1.00126447;1.00024236;1.0005709;41553114204.97;19693247297.502926;"2020-12-07T23:59:59.999Z"
"2020-12-06T00:00:00.000Z";"2020-12-06T23:59:59.999Z";"2020-12-06T21:26:09.000Z";"2020-12-06T04:00:12.000Z";1.00057468;1.00129059;1.00030984;1.00120332;41702527217.65;19683467750.662285;"2020-12-06T23:59:59.999Z"
"2020-12-05T00:00:00.000Z";"2020-12-05T23:59:59.999Z";"2020-12-05T08:38:08.000Z";"2020-12-05T00:19:09.000Z";1.00020577;1.00079195;0.99998178;1.00054453;46459783524.29;19645340054.118454;"2020-12-05T23:59:59.999Z"
