timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2022-12-30T00:00:00.000Z";"2022-12-30T23:59:59.999Z";"2022-12-30T15:11:00.000Z";"2022-12-30T22:46:00.000Z";0.9997312078;0.9997749184;0.9996304909;0.9996589557;19162959224.38;66241114601.8;"2022-12-30T23:59:59.999Z"
"2022-12-29T00:00:00.000Z";"2022-12-29T23:59:59.999Z";"2022-12-29T15:09:00.000Z";"2022-12-29T06:13:00.000Z";0.9996791582;0.9998384028;0.9995986556;0.9997350703;18567214595.53;66237616405.59;"2022-12-29T23:59:59.999Z"
"2022-12-28T00:00:00.000Z";"2022-12-28T23:59:59.999Z";"2022-12-28T03:57:00.000Z";"2022-12-28T23:33:00.000Z";0.9998546097;0.999920747;0.9996521987;0.9996855312;21161758511.6;66226814163.62;"2022-12-28T23:59:59.999Z"
"2022-12-27T00:00:00.000Z";"2022-12-27T23:59:59.999Z";"2022-12-27T02:59:00.000Z";"2022-12-27T12:03:00.000Z";0.99996371;1.0000186542;0.999828211;0.9998503861;18554435181.84;66237735516.81;"2022-12-27T23:59:59.999Z"
"2022-12-26T00:00:00.000Z";"2022-12-26T23:59:59.999Z";"2022-12-26T22:16:00.000Z";"2022-12-26T04:04:00.000Z";0.9999343539;1.0000204759;0.9998944663;0.9999950277;14986560291.36;66247317684.14;"2022-12-26T23:59:59.999Z"
"2022-12-25T00:00:00.000Z";"2022-12-25T23:59:59.999Z";"2022-12-25T00:33:00.000Z";"2022-12-25T20:07:00.000Z";0.9999892442;1.0000526536;0.9998928951;0.9999426722;14856104217.46;66243849258.58;"2022-12-25T23:59:59.999Z"
"2022-12-24T00:00:00.000Z";"2022-12-24T23:59:59.999Z";"2022-12-24T00:41:00.000Z";"2022-12-24T21:06:00.000Z";0.9999806613;1.0000609863;0.9999554973;0.9999924708;11647419532.79;66247148297.1;"2022-12-24T23:59:59.999Z"
"2022-12-23T00:00:00.000Z";"2022-12-23T23:59:59.999Z";"2022-12-23T13:40:00.000Z";"2022-12-23T22:17:00.000Z";1.0000024186;1.0000686171;0.9999356457;0.999980667;18370924559;66246416322.39;"2022-12-23T23:59:59.999Z"
"2022-12-22T00:00:00.000Z";"2022-12-22T23:59:59.999Z";"2022-12-22T08:17:00.000Z";"2022-12-22T17:51:00.000Z";1.0000792592;1.0001222403;0.9999716156;1.0000108054;20067291687.74;66248412922.16;"2022-12-22T23:59:59.999Z"
"2022-12-21T00:00:00.000Z";"2022-12-21T23:59:59.999Z";"2022-12-21T11:55:00.000Z";"2022-12-21T23:08:00.000Z";1.0000935322;1.0001909059;1.0000368669;1.0000769454;18469483242.39;66248041991.05;"2022-12-21T23:59:59.999Z"
"2022-12-20T00:00:00.000Z";"2022-12-20T23:59:59.999Z";"2022-12-20T06:05:00.000Z";"2022-12-20T17:40:00.000Z";1.0000722803;1.0001992577;1.0000522384;1.0001110378;26224288350.04;66216896859.71;"2022-12-20T23:59:59.999Z"
"2022-12-19T00:00:00.000Z";"2022-12-19T23:59:59.999Z";"2022-12-19T01:35:00.000Z";"2022-12-19T19:45:00.000Z";1.0001490701;1.0002073453;1.0000477776;1.0000797092;21820408554.47;66162378427.84;"2022-12-19T23:59:59.999Z"
"2022-12-18T00:00:00.000Z";"2022-12-18T23:59:59.999Z";"2022-12-18T23:33:00.000Z";"2022-12-18T01:28:00.000Z";1.0001335781;1.0002199116;1.0000745241;1.0001550646;14422416297.86;66167363728.16;"2022-12-18T23:59:59.999Z"
"2022-12-17T00:00:00.000Z";"2022-12-17T23:59:59.999Z";"2022-12-17T10:54:00.000Z";"2022-12-17T00:30:00.000Z";1.0001288492;1.000296096;1.0000733017;1.0001607812;21306704152.42;66062840064.2;"2022-12-17T23:59:59.999Z"
